category,title,description,price,quantity,detail,images
House Garden,Dr,"Blister (nonthermal) of left hand, initial encounter",150,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,Other infestations,150,20,Blue,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mr,"Poisoning by other antidepressants, undetermined, sequela",150,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,"Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity",150,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,Benign neoplasm of short bones of lower limb,150,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Dr,"Sickle-cell/Hb-C disease with crisis, unspecified",150,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Nondisplaced oblique fracture of shaft of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",200,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,200,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Mrs,"Nondisplaced subtrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing",200,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mr,"Displaced fracture of body of scapula, unspecified shoulder",200,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mr,"Military operation involving nuclear radiation effects of nuclear weapon, military personnel",200,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Dr,"Other fracture of lower end of unspecified ulna, sequela",200,20,Puce,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Dr,"Unspecified fracture of lower end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",200,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Honorable,Unspecified optic atrophy,200,20,Fuscia,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Mr,"Displaced fracture of distal phalanx of right thumb, initial encounter for open fracture",200,20,Fuscia,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Rev,"Nondisplaced fracture of shaft of fourth metacarpal bone, right hand, sequela",200,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mrs,"Poisoning by, adverse effect of and underdosing of alpha-adrenoreceptor antagonists",200,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Rev,"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with malunion",200,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mrs,"Abrasion of oral cavity, subsequent encounter",200,20,Crimson,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Dr,"Nondisplaced Maisonneuve's fracture of unspecified leg, initial encounter for open fracture type I or II",200,20,Blue,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Ms,Exposure to other man-made environmental factors,200,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,"Unspecified injury of head of pancreas, sequela",200,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Ms,"Phlebitis and thrombophlebitis of iliac vein, bilateral",200,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Honorable,"Open bite of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter",200,20,Maroon,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Ms,Other symptoms and signs involving the nervous and musculoskeletal systems,200,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Mr,"Fatigue fracture of vertebra, thoracic region, subsequent encounter for fracture with routine healing",200,20,Indigo,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Dr,"Subacute osteomyelitis, other site",200,20,Turquoise,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,"Unstable burst fracture of third thoracic vertebra, subsequent encounter for fracture with routine healing",200,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Rev,Malformation of placenta,200,20,Goldenrod,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Ms,Fracture of second cervical vertebra,200,20,Pink,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,Presence of other vascular implants and grafts,200,20,Aquamarine,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Dr,"Open bite, unspecified foot, subsequent encounter",200,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Honorable,"Other fracture of shaft of left humerus, subsequent encounter for fracture with malunion",200,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mrs,"Unspecified injury of unspecified blood vessel at abdomen, lower back and pelvis level, initial encounter",200,20,Blue,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Dr,"Deprivation of water, initial encounter",200,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
Books,Ms,Follicular lymphoma grade I,200,20,Pink,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Dr,"Major osseous defect, left ankle and foot",200,20,Mauv,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Ms,Fracture of olecranon process without intraarticular extension of ulna,200,20,Mauv,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Dr,"Other specified fracture of right pubis, sequela",200,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,Unspecified dementia,200,20,Green,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Rev,"Unspecified injury of left carotid artery, subsequent encounter",200,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,"Displaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",200,20,Violet,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,"Palindromic rheumatism, unspecified elbow",200,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Dr,"Other incomplete lesion at C5 level of cervical spinal cord, subsequent encounter",200,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mrs,Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident,200,20,Blue,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mrs,Adverse effect of antiparkinsonism drugs and other central muscle-tone depressants,200,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Ms,"Puncture wound without foreign body of unspecified great toe without damage to nail, subsequent encounter",200,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,"Papyraceous fetus, third trimester, fetus 1",200,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mrs,"Other slipping, tripping and stumbling without falling, initial encounter",200,20,Violet,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Honorable,"Unspecified physeal fracture of lower end of radius, unspecified arm, subsequent encounter for fracture with malunion",200,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Books,Rev,Inspissated bile syndrome,200,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Mr,"Partial traumatic amputation of left great toe, sequela",200,20,Khaki,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Dr,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 3",200,20,Crimson,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mrs,Partial traumatic amputation at unspecified shoulder joint,200,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mrs,"Lesion of sciatic nerve, unspecified lower limb",200,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mrs,"Jumping or diving from boat striking bottom causing other injury, initial encounter",200,20,Teal,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Dr,Other superficial injuries of thumb,200,20,Purple,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,Traumatic rupture of other ligament of right little finger at metacarpophalangeal and interphalangeal joint,200,20,Turquoise,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Dr,"Anterior dislocation of right radial head, subsequent encounter",200,20,Teal,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Dr,"Unspecified injury of posterior tibial artery, left leg, sequela",200,20,Purple,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Ms,"Intentional self-harm by steam, hot vapors and hot objects",200,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Dr,"Malignant neoplasm of upper lip, inner aspect",200,20,Puce,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Ms,Infection and inflammatory reaction due to internal right knee prosthesis,200,20,Mauv,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Poisoning by unspecified narcotics, undetermined, initial encounter",200,20,Turquoise,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Honorable,"Partial traumatic transmetacarpal amputation of unspecified hand, subsequent encounter",200,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Dr,"Poisoning by other anti-common-cold drugs, intentional self-harm",200,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,"Equatorial staphyloma, right eye",200,20,Mauv,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Ms,"Displacement of aortic (bifurcation) graft (replacement), sequela",200,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mr,Subluxation and dislocation of L4/L5 lumbar vertebra,200,20,Turquoise,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Rev,"Orbital myositis, left orbit",200,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Ms,"Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, initial encounter",200,20,Red,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Dr,"Fracture of xiphoid process, sequela",200,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Honorable,"Ganglion, unspecified shoulder",200,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Mrs,"Diffuse acute infarction of intestine, part unspecified",200,20,Maroon,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mrs,"Unspecified injury of blood vessel of left ring finger, subsequent encounter",200,20,Khaki,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Dr,"Exposure to other prolonged low air pressure, sequela",200,20,Maroon,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Ms,"Drowning and submersion due to falling or jumping from crushed unspecified watercraft, subsequent encounter",200,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Ms,Breakdown (mechanical) of internal fixation device of bone of right lower leg,200,20,Khaki,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Ms,"War operations involving destruction of aircraft due to onboard fire, civilian",200,20,Turquoise,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mrs,"Military operations involving other destruction of aircraft, military personnel",200,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Honorable,"Other specified cause of accidental non-transport drowning and submersion, sequela",200,20,Puce,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Mrs,"Sprain of metatarsophalangeal joint of unspecified lesser toe(s), subsequent encounter",200,20,Violet,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Rev,"Poisoning by other general anesthetics, assault, initial encounter",200,20,Purple,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Rev,Simple supracondylar fracture without intercondylar fracture of humerus,200,20,Mauv,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mr,"Primary hypotony of eye, bilateral",200,20,Goldenrod,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mrs,Unspecified sprain of unspecified thumb,200,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Rev,"Contact with lifting and transmission devices, not elsewhere classified",200,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,Laceration of blood vessel of unspecified finger,200,20,Red,/home/cyber_mizdav/Pictures/store1.jpg
Books,Rev,Spiral fracture of shaft of fibula,200,20,Mauv,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Poisoning by, adverse effect of and underdosing of cocaine",200,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Dr,Torsion of ovary and ovarian pedicle,200,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Ms,"Car driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",200,20,Crimson,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Mr,"Polyarthritis, unspecified",200,20,Aquamarine,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mrs,"Longitudinal vaginal septum, microperforate, right side",200,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Dr,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",200,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Mrs,"Pressure ulcer of right buttock, stage 1",200,20,Goldenrod,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mrs,"Unspecified open wound of anus, initial encounter",200,20,Purple,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Mr,"Open bite, unspecified hip, initial encounter",200,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Honorable,"Rheumatoid nodule, unspecified ankle and foot",200,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Ms,"Unspecified subluxation of right wrist and hand, sequela",200,20,Khaki,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Ms,"Central retinal vein occlusion, bilateral, with macular edema",200,20,Goldenrod,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Mrs,"Corrosion of third degree of left forearm, initial encounter",200,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mrs,Erysipelothrix sepsis,200,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Rev,Eczematous dermatitis of eyelid,200,20,Goldenrod,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mr,Cleft hard palate with cleft soft palate,200,20,Purple,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Rev,"Toxic effect of venom of scorpion, intentional self-harm, sequela",200,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Ms,"Unspecified injury of axillary or brachial vein, right side",149,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mrs,"Post-traumatic urethral stricture, female",149,20,Yellow,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mrs,"Other acquired stenosis of external ear canal, bilateral",149,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Dr,"Achilles tendinitis, left leg",149,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mr,Contusion of right hand,149,20,Indigo,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Rev,"Superficial foreign body of breast, left breast, sequela",149,20,Aquamarine,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mrs,"Pathological fracture in other disease, right hand",149,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Dr,"Unspecified dislocation of right ring finger, subsequent encounter",149,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mrs,"Infantile idiopathic scoliosis, thoracolumbar region",149,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mr,Osseous and subluxation stenosis of intervertebral foramina of pelvic region,149,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Honorable,"Displaced other extraarticular fracture of left calcaneus, sequela",149,20,Red,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Rev,"Contusion of lung, unilateral, subsequent encounter",149,20,Puce,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Ms,"Central subluxation of unspecified hip, sequela",149,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Honorable,"Other injury of thoracic trachea, initial encounter",149,20,Indigo,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Ms,"Recession of chamber angle, left eye",149,20,Purple,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Ms,Underdosing of unspecified general anesthetics,149,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mrs,Nondisplaced fracture of neck of other metacarpal bone,149,20,Yellow,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mrs,"Labyrinthine fistula, left ear",149,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mr,Frontal lobe and executive function deficit following cerebral infarction,149,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Honorable,"Military operations involving other firearms discharge, civilian, initial encounter",149,20,Aquamarine,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Mr,"Burn of second degree of left toe(s) (nail), subsequent encounter",149,20,Red,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Rev,"Contusion of nose, sequela",149,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Ms,"Nondisplaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",149,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Honorable,"Follicular lymphoma, unspecified, unspecified site",149,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Mr,Cutaneous blastomycosis,149,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Ms,Rheumatoid myopathy with rheumatoid arthritis,149,20,Fuscia,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Rev,"Solitary bone cyst, unspecified ankle and foot",149,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Honorable,33 weeks gestation of pregnancy,149,20,Turquoise,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Rev,Excessive crying of infant (baby),149,20,Red,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Mr,"Other cervical disc degeneration, unspecified cervical region",149,20,Teal,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Dr,"Infection and inflammatory reaction due to internal fixation device of left humerus, sequela",149,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Dr,"Displaced other extraarticular fracture of unspecified calcaneus, sequela",149,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Nondisplaced spiral fracture of shaft of left tibia, subsequent encounter for closed fracture with malunion",149,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Rev,"Poisoning by, adverse effect of and underdosing of penicillins",149,20,Red,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Rev,"Underdosing of saline and osmotic laxatives, initial encounter",149,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Ms,Fracture of subcondylar process of mandible,149,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Honorable,"Postprocedural shock unspecified, sequela",149,20,Crimson,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mrs,"Superficial injury of wrist, hand and fingers",149,20,Turquoise,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Dr,"Other acquired stenosis of external ear canal, unspecified ear",149,20,Indigo,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Mrs,"Poisoning by tetracyclines, assault, sequela",149,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Ms,"Other fracture of left great toe, sequela",149,20,Yellow,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mr,Other and unspecified injury to sacral spinal cord,149,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Ms,"Poisoning by unspecified topical agent, assault, subsequent encounter",149,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mr,"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with routine healing",149,20,Purple,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Dr,Unspecified blepharitis right lower eyelid,149,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Honorable,"Frostbite with tissue necrosis of unspecified hand, sequela",149,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Mr,"Displaced comminuted fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with routine healing",149,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Honorable,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,149,20,Maroon,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Rev,"Other articular cartilage disorders, right hand",149,20,Yellow,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Ms,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",149,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,"Insect bite (nonvenomous) of left ear, initial encounter",149,20,Purple,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Mrs,"Unspecified physeal fracture of lower end of ulna, unspecified arm, subsequent encounter for fracture with nonunion",149,20,Pink,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Honorable,"Strain of muscle, fascia and tendon of abdomen, initial encounter",149,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
Books,Honorable,Unspecified choroidal degeneration,149,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Honorable,"Nondisplaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for closed fracture",149,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mr,Displaced transverse fracture of shaft of right radius,149,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",149,20,Goldenrod,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Rev,Acute epiglottitis,149,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Dr,"Person on outside of bus injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",149,20,Indigo,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Ms,Open bite of wrist,149,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mr,"Other secondary gout, right ankle and foot",149,20,Goldenrod,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Mr,"Other injury of intrinsic muscle, fascia and tendon of unspecified finger at wrist and hand level, initial encounter",149,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mr,Dislocation of septal cartilage of nose,149,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Dr,"Salter-Harris Type IV physeal fracture of lower end of humerus, left arm, sequela",149,20,Mauv,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Rev,"Toxic effect of herbicides and fungicides, accidental (unintentional), sequela",149,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,"Drug-induced chronic gout, unspecified hip, without tophus (tophi)",149,20,Yellow,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Mr,"Merkel cell carcinoma of left upper limb, including shoulder",149,20,Goldenrod,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Honorable,"Contusion of right knee, subsequent encounter",149,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mr,"Poisoning by, adverse effect of and underdosing of hemostatic drugs",149,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Ms,"Unspecified nondisplaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing",149,20,Indigo,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Dr,"Maternal care for anti-D [Rh] antibodies, unspecified trimester, fetus 2",149,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Mr,"Stable burst fracture of third thoracic vertebra, subsequent encounter for fracture with routine healing",149,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mr,Abnormal cytological findings in specimens from other digestive organs and abdominal cavity,149,20,Yellow,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mr,Crohn's disease of both small and large intestine,149,20,Crimson,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Dr,Postprocedural hematoma of the spleen following other procedure,149,20,Indigo,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Honorable,Other fracture of shaft of unspecified femur,149,20,Purple,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mr,"Subluxation of T11/T12 thoracic vertebra, subsequent encounter",149,20,Crimson,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Dr,"Person on outside of bus injured in collision with car, pick-up truck or van in traffic accident",149,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Ms,"Person on outside of bus injured in collision with pedestrian or animal in traffic accident, initial encounter",149,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mr,Breakdown (mechanical) of internal fixation device of vertebrae,149,20,Yellow,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Honorable,"Military operations involving incendiary bullet, civilian, initial encounter",149,20,Purple,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Ms,"Inferior dislocation of right acromioclavicular joint, sequela",149,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Ms,"Unspecified injury of unspecified blood vessel at shoulder and upper arm level, left arm",149,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Rev,Torus fracture of lower end of right radius,149,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Honorable,Puncture wound with foreign body of unspecified hand,149,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mrs,"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion",149,20,Crimson,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Honorable,"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",149,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Honorable,"Poisoning by thrombolytic drug, assault, initial encounter",149,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Mr,"Laceration without foreign body of left eyelid and periocular area, initial encounter",149,20,Pink,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Rev,"Breakdown (mechanical) of internal fixation device of right humerus, subsequent encounter",149,20,Khaki,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Dr,Unspecified subluxation of left wrist and hand,149,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Mrs,Unspecified complication of foreign body accidentally left in body following infusion or transfusion,149,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Mrs,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",149,20,Blue,/home/cyber_mizdav/Pictures/store1.jpg
